experiment,bootstrap_type,dataset,preprocessing,classifier,h_mean
fairboost,default,german,OptimPreproc,Random Forest,"[0.8457837516632687, 0.701971800921673, 0.8475929114326544, 0.830341781578204, 0.7758414231371172, 0.8485605836628036, 0.684845086028616, 0.7244716190843002, 0.8241464222021238, 0.7353135641244727]"
fairboost,default,german,LFR,Logistic Regression,"[0.9087048832271762, 0.8305836820506016, 0.8888888888888888, 0.8761049338899347, 0.7827348084676078, 0.8183368869936034, 0.8198614318706696, 0.8320126782884311, 0.833530721493202, 0.7387126389880649]"
fairboost,default,german,LFR,Random Forest,"[0.8475171963649144, 0.8339237341112732, 0.8665909300254843, 0.8671998975800183, 0.7871087042662792, 0.831413120150482, 0.8325589658631878, 0.8439181731183376, 0.8819901400042893, 0.7547866852773395]"
fairboost,default,german,Reweighing,Logistic Regression,"[0.9087048832271762, 0.8400347938886414, 0.8764372469635628, 0.8876410091985708, 0.8171296186422943, 0.865967134707238, 0.8526155067746601, 0.8483462824527523, 0.8565597969648314, 0.8135403312163255]"
fairboost,default,german,Reweighing,Random Forest,"[0.7786490057815855, 0.8235968498028335, 0.7768410657791269, 0.8028219517629366, 0.7477336161912167, 0.7462821090581343, 0.8669163551171173, 0.8216181708218535, 0.8352931488950078, 0.7289862111014559]"
fairboost,default,german,"LFR,OptimPreproc",Logistic Regression,"[0.8320430831369909, 0.8187943954579786, 0.8153197372969236, 0.8095175022734945, 0.7717825468824048, 0.8435406272423418, 0.8421699575721528, 0.8610841645161411, 0.849675664971334, 0.7173121652401033]"
fairboost,default,german,"LFR,OptimPreproc",Random Forest,"[0.839695368595158, 0.8104404780331234, 0.7752758047453528, 0.7793906675755544, 0.7932964184550666, 0.7603212232074744, 0.7477647384381554, 0.8112039676111122, 0.68057285115249, 0.7170530788341475]"
fairboost,default,german,"OptimPreproc,Reweighing",Logistic Regression,"[0.885530285145726, 0.7713406101315421, 0.8112233771897942, 0.8402046035805627, 0.756738777942542, 0.8464312449199254, 0.8391009878276402, 0.865338785569333, 0.8415863002990447, 0.7979708000543535]"
fairboost,default,german,"OptimPreproc,Reweighing",Random Forest,"[0.8154576959847037, 0.6944444444444444, 0.7266740873078974, 0.6789442787796758, 0.7742009891841055, 0.769121489823709, 0.769813604525942, 0.7992946150659174, 0.6926572246907908, 0.6070858143307553]"
fairboost,default,german,"LFR,Reweighing",Logistic Regression,"[0.8810826835255832, 0.7869144414634508, 0.8511271965918189, 0.8038812263456019, 0.8152888157393006, 0.8380586646748458, 0.8198614318706696, 0.8026574810233539, 0.8628156034354895, 0.7737604334311806]"
